                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                   1.09,                0.89154,                 1.1635,                0.79524,                0.65782,                0.74881,                0.52152,                 0.9914,                0.73305,                 1.0789,               0.007987,               0.007987,               0.007987
                     64,                  1.091,                0.88919,                 1.1633,                0.79751,                0.65739,                0.74868,                0.52157,                0.99102,                0.73327,                 1.0787,               0.007954,               0.007954,               0.007954
                     65,                 1.0887,                0.88799,                 1.1617,                0.79796,                0.65634,                0.74822,                0.52157,                0.99102,                0.73357,                 1.0787,               0.007921,               0.007921,               0.007921
                     66,                 1.0898,                0.88744,                  1.161,                0.79519,                0.65741,                0.74887,                0.52174,                0.99027,                0.73307,                  1.078,               0.007888,               0.007888,               0.007888
                     67,                 1.0883,                0.88739,                 1.1614,                0.79118,                 0.6597,                0.74918,                0.52153,                 0.9901,                0.73306,                 1.0778,               0.007855,               0.007855,               0.007855
                     68,                 1.0872,                0.88722,                 1.1628,                0.79327,                0.65836,                0.74883,                0.52146,                0.98947,                0.73279,                 1.0774,               0.007822,               0.007822,               0.007822
                     69,                 1.0853,                0.88247,                 1.1607,                0.78945,                0.65781,                0.74845,                0.52151,                0.98889,                0.73277,                  1.077,               0.007789,               0.007789,               0.007789
                     70,                 1.0878,                0.88368,                 1.1617,                0.79753,                 0.6568,                0.74927,                0.52159,                0.98929,                0.73314,                 1.0772,               0.007756,               0.007756,               0.007756
                     71,                 1.0843,                0.88396,                 1.1634,                0.79793,                0.65722,                0.74923,                0.52187,                0.98916,                0.73287,                 1.0772,               0.007723,               0.007723,               0.007723
                     72,                 1.0859,                 0.8828,                 1.1606,                0.80389,                 0.6546,                 0.7497,                0.52256,                0.98898,                0.73285,                 1.0769,                0.00769,                0.00769,                0.00769
                     73,                 1.0866,                0.88359,                 1.1624,                0.79916,                0.65848,                0.74976,                0.52239,                0.98814,                0.73221,                 1.0763,               0.007657,               0.007657,               0.007657
                     74,                 1.0857,                0.88148,                 1.1604,                0.79934,                0.65896,                0.75033,                0.52232,                0.98733,                0.73199,                 1.0762,               0.007624,               0.007624,               0.007624
                     75,                 1.0814,                0.88134,                 1.1597,                0.80022,                0.65879,                0.75046,                0.52257,                0.98721,                0.73119,                 1.0761,               0.007591,               0.007591,               0.007591
                     76,                 1.0828,                0.88022,                 1.1602,                0.79837,                0.65886,                0.75083,                0.52266,                0.98721,                0.73084,                 1.0759,               0.007558,               0.007558,               0.007558
                     77,                 1.0844,                0.87945,                 1.1585,                0.79815,                0.65854,                0.75059,                0.52317,                0.98677,                0.73026,                 1.0756,               0.007525,               0.007525,               0.007525
                     78,                 1.0811,                0.87582,                 1.1559,                0.80026,                0.65574,                0.75076,                0.52343,                0.98621,                0.73007,                 1.0752,               0.007492,               0.007492,               0.007492
                     79,                 1.0808,                0.88016,                  1.159,                0.80457,                0.65252,                0.75139,                0.52368,                0.98675,                0.73014,                 1.0756,               0.007459,               0.007459,               0.007459
                     80,                 1.0818,                0.87829,                 1.1564,                 0.8008,                0.65427,                0.75117,                0.52343,                0.98573,                0.72953,                  1.075,               0.007426,               0.007426,               0.007426
                     81,                 1.0825,                0.87835,                 1.1581,                0.80145,                0.65509,                 0.7516,                0.52322,                0.98562,                0.72898,                 1.0747,               0.007393,               0.007393,               0.007393
                     82,                 1.0826,                0.87651,                  1.157,                0.80347,                0.65342,                0.75155,                0.52351,                0.98551,                0.72882,                 1.0744,                0.00736,                0.00736,                0.00736
                     83,                 1.0783,                0.87607,                 1.1582,                0.80533,                0.65304,                  0.751,                0.52301,                 0.9856,                0.72947,                 1.0745,               0.007327,               0.007327,               0.007327
                     84,                 1.0778,                0.87539,                  1.157,                0.80516,                0.65376,                0.75156,                0.52356,                0.98491,                0.72894,                 1.0741,               0.007294,               0.007294,               0.007294
                     85,                 1.0796,                0.87526,                 1.1566,                 0.8071,                0.65294,                0.75119,                0.52379,                0.98539,                0.72877,                 1.0745,               0.007261,               0.007261,               0.007261
                     86,                 1.0794,                0.87505,                  1.157,                0.80702,                0.65129,                 0.7509,                0.52359,                0.98487,                0.72856,                 1.0741,               0.007228,               0.007228,               0.007228
                     87,                 1.0788,                0.87694,                 1.1576,                0.81007,                0.65004,                0.75099,                0.52385,                0.98436,                0.72797,                 1.0736,               0.007195,               0.007195,               0.007195
                     88,                 1.0772,                0.87377,                 1.1564,                0.80796,                0.65135,                0.75125,                0.52386,                0.98424,                0.72828,                 1.0736,               0.007162,               0.007162,               0.007162
                     89,                 1.0751,                0.87105,                 1.1561,                0.80589,                0.65302,                0.75103,                0.52403,                0.98437,                0.72862,                  1.074,               0.007129,               0.007129,               0.007129
                     90,                 1.0779,                0.87278,                 1.1537,                0.80789,                0.65302,                0.75045,                  0.524,                0.98459,                0.72862,                 1.0744,               0.007096,               0.007096,               0.007096
                     91,                 1.0777,                0.87296,                 1.1558,                0.80504,                 0.6539,                0.75065,                0.52451,                0.98435,                 0.7285,                 1.0742,               0.007063,               0.007063,               0.007063
                     92,                 1.0757,                0.87234,                 1.1552,                0.80283,                 0.6543,                0.75111,                0.52431,                0.98438,                0.72773,                 1.0745,                0.00703,                0.00703,                0.00703
                     93,                 1.0777,                0.87027,                 1.1545,                0.80279,                0.65561,                0.75162,                 0.5244,                0.98412,                0.72766,                 1.0742,               0.006997,               0.006997,               0.006997
