               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.047889,            0.045245,           0.0042912,             0.76128,             0.57541,             0.66071,             0.39206,            0.043701,            0.030416,           0.0025046,            0.008416,            0.008416,            0.008416
                  50,            0.048004,            0.045555,           0.0043155,             0.76212,             0.57595,             0.66022,             0.39233,            0.043695,            0.030412,           0.0025028,            0.008383,            0.008383,            0.008383
                  51,            0.047807,            0.045266,           0.0043076,              0.7602,             0.57636,             0.66033,             0.39201,            0.043687,            0.030406,           0.0025041,             0.00835,             0.00835,             0.00835
                  52,            0.047911,            0.045346,           0.0042931,             0.75745,             0.57683,             0.66018,             0.39228,            0.043678,            0.030401,           0.0025069,            0.008317,            0.008317,            0.008317
                  53,            0.047752,            0.045285,           0.0042219,             0.75755,             0.57639,             0.66076,             0.39218,            0.043671,            0.030396,           0.0025091,            0.008284,            0.008284,            0.008284
                  54,            0.047933,            0.045232,           0.0043423,             0.75976,             0.57489,             0.66047,             0.39244,            0.043663,            0.030391,           0.0025111,            0.008251,            0.008251,            0.008251
                  55,            0.047805,            0.045351,           0.0042866,             0.76228,              0.5734,              0.6603,              0.3926,            0.043655,            0.030383,           0.0025101,            0.008218,            0.008218,            0.008218
                  56,            0.047697,            0.045083,           0.0042413,             0.76367,             0.57162,             0.65981,             0.39245,            0.043646,            0.030374,           0.0025067,            0.008185,            0.008185,            0.008185
                  57,            0.047722,             0.04525,            0.004249,             0.75895,             0.57277,             0.65996,              0.3922,            0.043637,            0.030367,           0.0025064,            0.008152,            0.008152,            0.008152
                  58,             0.04777,            0.045504,           0.0042665,             0.76245,             0.57221,             0.65991,             0.39195,             0.04363,            0.030361,            0.002508,            0.008119,            0.008119,            0.008119
                  59,            0.047717,            0.045243,           0.0042309,             0.76228,             0.57269,             0.66001,             0.39241,            0.043624,            0.030358,           0.0025091,            0.008086,            0.008086,            0.008086
                  60,            0.047673,            0.045243,           0.0042285,             0.76193,             0.57314,             0.66026,             0.39254,            0.043614,            0.030352,           0.0025063,            0.008053,            0.008053,            0.008053
                  61,            0.047665,            0.045234,           0.0042267,             0.75975,             0.57466,             0.66002,             0.39254,            0.043602,            0.030348,           0.0025021,             0.00802,             0.00802,             0.00802
                  62,            0.047677,            0.045406,           0.0041904,             0.75937,             0.57544,             0.66077,             0.39248,            0.043594,            0.030343,           0.0025002,            0.007987,            0.007987,            0.007987
                  63,            0.047617,            0.045149,            0.004232,             0.76097,             0.57506,             0.66045,             0.39271,            0.043585,            0.030341,           0.0024976,            0.007954,            0.007954,            0.007954
                  64,            0.047675,            0.045293,            0.004199,             0.75925,             0.57616,             0.66111,             0.39322,            0.043571,            0.030335,           0.0024987,            0.007921,            0.007921,            0.007921
                  65,            0.047553,            0.045267,            0.004211,             0.75858,             0.57584,             0.66075,              0.3934,            0.043561,            0.030332,           0.0024992,            0.007888,            0.007888,            0.007888
                  66,            0.047666,            0.045271,           0.0042048,             0.76004,             0.57595,             0.66103,              0.3937,            0.043546,            0.030327,           0.0025007,            0.007855,            0.007855,            0.007855
                  67,            0.047591,            0.045121,           0.0042408,             0.75851,             0.57533,             0.66103,             0.39419,            0.043529,            0.030322,           0.0025009,            0.007822,            0.007822,            0.007822
                  68,             0.04757,            0.045263,           0.0041936,             0.75967,             0.57521,              0.6611,             0.39439,            0.043516,            0.030315,           0.0025007,            0.007789,            0.007789,            0.007789
                  69,            0.047531,            0.045246,           0.0041762,             0.76484,             0.57317,             0.66167,             0.39452,            0.043502,            0.030311,           0.0024989,            0.007756,            0.007756,            0.007756
                  70,            0.047483,            0.045152,            0.004219,             0.76454,             0.57306,             0.66141,             0.39501,            0.043487,            0.030305,            0.002497,            0.007723,            0.007723,            0.007723
                  71,            0.047488,            0.045275,           0.0041791,             0.76435,             0.57193,             0.66092,             0.39487,            0.043472,            0.030301,            0.002496,             0.00769,             0.00769,             0.00769
                  72,            0.047449,            0.045278,           0.0041778,             0.76292,             0.57358,             0.66097,             0.39508,            0.043459,              0.0303,            0.002492,            0.007657,            0.007657,            0.007657
                  73,             0.04753,            0.044958,            0.004171,             0.76397,             0.57405,             0.66145,             0.39507,            0.043449,            0.030292,           0.0024926,            0.007624,            0.007624,            0.007624
                  74,            0.047396,            0.045021,           0.0041981,             0.76341,             0.57469,             0.66151,             0.39495,            0.043442,             0.03029,            0.002492,            0.007591,            0.007591,            0.007591
                  75,            0.047508,            0.045189,           0.0041387,             0.76336,             0.57401,             0.66159,             0.39507,            0.043428,            0.030286,           0.0024902,            0.007558,            0.007558,            0.007558
                  76,            0.047389,            0.044962,            0.004144,              0.7575,             0.57765,              0.6618,             0.39502,            0.043417,            0.030279,           0.0024887,            0.007525,            0.007525,            0.007525
                  77,            0.047355,            0.045062,           0.0041555,             0.76089,             0.57611,             0.66201,             0.39521,             0.04341,            0.030279,            0.002489,            0.007492,            0.007492,            0.007492
                  78,            0.047392,            0.045313,           0.0041742,             0.75941,             0.57684,             0.66216,              0.3955,            0.043394,            0.030272,           0.0024884,            0.007459,            0.007459,            0.007459
                  79,             0.04734,            0.045052,           0.0041397,             0.76268,             0.57608,             0.66272,             0.39526,            0.043382,            0.030263,           0.0024862,            0.007426,            0.007426,            0.007426
                  80,            0.047331,            0.045033,           0.0041426,             0.76082,             0.57707,             0.66276,             0.39575,             0.04337,            0.030262,           0.0024858,            0.007393,            0.007393,            0.007393
                  81,              0.0474,            0.045238,           0.0041234,             0.76525,             0.57554,             0.66301,             0.39588,             0.04336,            0.030257,           0.0024872,             0.00736,             0.00736,             0.00736
                  82,            0.047337,            0.045259,           0.0041593,              0.7663,             0.57542,             0.66327,             0.39582,            0.043348,            0.030251,           0.0024878,            0.007327,            0.007327,            0.007327
                  83,            0.047219,            0.044914,           0.0041335,             0.76842,              0.5751,             0.66324,              0.3962,            0.043338,            0.030243,            0.002487,            0.007294,            0.007294,            0.007294
                  84,              0.0473,            0.044996,           0.0041422,             0.76753,             0.57352,             0.66315,             0.39652,            0.043328,             0.03024,           0.0024855,            0.007261,            0.007261,            0.007261
                  85,            0.047285,            0.045045,            0.004128,             0.76564,             0.57354,             0.66332,             0.39648,            0.043314,            0.030233,           0.0024837,            0.007228,            0.007228,            0.007228
                  86,            0.047303,            0.044928,           0.0041176,             0.76576,             0.57388,              0.6635,             0.39697,            0.043301,             0.03023,            0.002481,            0.007195,            0.007195,            0.007195
