                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.86945,                0.44337,                 1.0082,                0.92411,                0.92988,                0.97014,                0.65784,                 1.4127,                0.61293,                 1.4611,              0.0013974,              0.0013974,              0.0013974
                     52,                0.83495,                 0.4254,                 1.0001,                0.98034,                0.94441,                0.97015,                0.73557,                 1.2886,                0.52786,                 1.4177,              0.0013919,              0.0013919,              0.0013919
                     53,                0.84635,                0.42462,                0.98949,                0.94509,                0.93291,                0.96255,                0.70884,                 1.2775,                0.58845,                 1.3636,              0.0013864,              0.0013864,              0.0013864
                     54,                0.82225,                 0.4235,                0.97783,                0.96657,                0.95211,                0.97562,                0.72957,                 1.2832,                0.51109,                 1.4099,              0.0013809,              0.0013809,              0.0013809
                     55,                0.84358,                0.43305,                0.99914,                0.94699,                 0.9804,                0.98873,                0.75607,                 1.1696,                0.52099,                 1.3081,              0.0013754,              0.0013754,              0.0013754
                     56,                0.83272,                0.41971,                0.97564,                0.80986,                0.93693,                0.96825,                0.74764,                 1.1935,                0.76849,                 1.3437,              0.0013699,              0.0013699,              0.0013699
                     57,                0.82156,                 0.4255,                0.98553,                0.97267,                0.96296,                0.98443,                0.75978,                  1.132,                0.54307,                 1.2645,              0.0013644,              0.0013644,              0.0013644
                     58,                0.83254,                0.42761,                0.99201,                0.97374,                0.97434,                0.98679,                 0.7801,                 1.1145,                 0.4727,                 1.2714,              0.0013589,              0.0013589,              0.0013589
                     59,                0.80769,                0.41352,                0.98477,                0.57856,                0.88453,                 0.7702,                 0.5707,                 1.3787,                  1.735,                  1.415,              0.0013534,              0.0013534,              0.0013534
                     60,                0.82915,                0.43107,                0.98745,                0.95924,                 0.9083,                0.94944,                0.70534,                 1.3257,                0.57377,                 1.4364,              0.0013479,              0.0013479,              0.0013479
                     61,                0.81069,                0.41534,                0.98433,                0.94642,                0.90504,                 0.9347,                0.64553,                 1.4806,                0.58754,                 1.5379,              0.0013424,              0.0013424,              0.0013424
                     62,                0.80007,                0.41533,                0.98264,                0.96021,                0.95516,                0.96924,                0.72622,                  1.326,                0.52572,                 1.4648,              0.0013369,              0.0013369,              0.0013369
                     63,                0.80782,                0.40555,                0.97989,                0.96547,                0.94512,                0.96376,                 0.7417,                 1.3012,                0.55389,                 1.4743,              0.0013314,              0.0013314,              0.0013314
                     64,                0.79665,                0.40278,                0.97453,                0.98267,                0.97984,                0.99014,                0.76681,                 1.1909,                0.46622,                 1.3319,              0.0013259,              0.0013259,              0.0013259
                     65,                0.79462,                0.40201,                0.96642,                  0.964,                0.94346,                0.96645,                0.74254,                 1.2987,                0.54011,                 1.4676,              0.0013204,              0.0013204,              0.0013204
                     66,                0.81509,                0.40747,                0.98782,                0.98115,                0.98114,                0.98912,                 0.7602,                 1.1545,                0.46557,                 1.2755,              0.0013149,              0.0013149,              0.0013149
                     67,                0.79869,                0.41054,                0.96576,                0.97988,                0.97411,                0.98333,                0.74629,                 1.2808,                 0.5005,                 1.4307,              0.0013094,              0.0013094,              0.0013094
                     68,                0.80949,                0.41391,                0.97528,                0.96785,                0.95211,                0.97278,                0.73032,                 1.3259,                0.51019,                 1.4619,              0.0013039,              0.0013039,              0.0013039
                     69,                0.80208,                0.40221,                0.96799,                0.96669,                0.95427,                  0.975,                0.73904,                 1.2595,                0.51029,                 1.4141,              0.0012984,              0.0012984,              0.0012984
                     70,                0.79516,                0.38954,                0.96635,                0.95471,                0.94992,                0.96941,                0.71904,                 1.3066,                 0.5211,                 1.4021,              0.0012929,              0.0012929,              0.0012929
                     71,                0.80309,                0.40244,                0.97488,                0.98834,                0.98431,                0.98884,                0.74823,                 1.2205,                0.47082,                 1.3864,              0.0012874,              0.0012874,              0.0012874
                     72,                0.77911,                0.38901,                0.96207,                 0.9726,                0.93902,                0.96294,                0.72787,                 1.3598,                0.50768,                 1.5055,              0.0012819,              0.0012819,              0.0012819
                     73,                0.76933,                0.38241,                0.95649,                0.97656,                0.97561,                0.98453,                 0.7527,                 1.2463,                0.47346,                 1.4091,              0.0012764,              0.0012764,              0.0012764
                     74,                 0.8083,                0.40104,                0.97819,                0.94896,                  0.953,                0.97023,                 0.6963,                 1.3674,                0.56216,                 1.4816,              0.0012709,              0.0012709,              0.0012709
                     75,                0.78406,                0.38834,                0.96699,                0.90526,                0.95668,                0.96933,                0.72737,                 1.3209,                0.61075,                 1.4893,              0.0012654,              0.0012654,              0.0012654
                     76,                 0.7905,                0.39142,                 0.9594,                0.97026,                 0.9575,                0.96878,                0.74149,                 1.2723,                0.50837,                 1.4365,              0.0012599,              0.0012599,              0.0012599
                     77,                0.76838,                0.38073,                0.95722,                0.96909,                0.94494,                0.97399,                0.72603,                 1.3635,                 0.5099,                 1.5216,              0.0012544,              0.0012544,              0.0012544
